iter	MultiRMSE
0	17301.18366
1	16582.45268
2	15872.97603
3	15169.36454
4	14542.46216
5	13897.47541
6	13270.16171
7	12714.72093
8	12196.63481
9	11678.657
10	11183.67545
11	10717.32919
12	10247.41933
13	9819.77958
14	9384.860272
15	8982.638128
16	8608.780469
17	8247.277862
18	7911.691481
19	7570.987208
20	7270.009296
21	6957.775875
22	6690.537363
23	6416.131139
24	6141.712795
25	5904.028143
26	5681.305769
27	5464.266167
28	5239.090253
29	5040.865864
30	4838.929107
31	4651.055983
32	4476.638238
33	4296.537542
34	4137.196523
35	3978.21124
36	3830.392844
37	3686.157554
38	3539.913929
39	3411.265345
40	3280.112613
41	3160.932719
42	3051.120929
43	2948.203756
44	2834.315125
45	2730.018822
46	2628.377459
47	2532.547508
48	2439.440631
49	2363.106946
50	2278.345687
51	2200.824778
52	2137.282734
53	2063.512113
54	2006.209743
55	1949.573308
56	1892.361499
57	1833.566131
58	1776.909171
59	1720.222211
60	1668.376802
61	1621.698193
62	1577.831492
63	1532.572306
64	1488.092698
65	1445.545331
66	1408.073833
67	1366.474991
68	1335.665202
69	1303.341347
70	1271.704734
71	1240.719784
72	1210.198158
73	1181.05125
74	1150.703921
75	1121.372587
76	1096.11586
77	1071.077921
78	1048.89372
79	1028.647862
80	1010.10899
81	990.5066861
82	972.6483841
83	953.33789
84	934.8056913
85	918.2645171
86	900.7400284
87	883.9894426
88	867.2246304
89	855.414495
90	839.4075855
91	825.8087074
92	812.1869677
93	797.3504476
94	782.2948135
95	771.4965562
96	757.9363623
97	746.5588165
98	735.6428624
99	726.2866158
100	718.0085045
101	707.5052521
102	697.4374864
103	689.9962329
104	681.740409
105	674.6421478
106	667.8528799
107	658.6639541
108	650.7924114
109	643.9879455
110	636.0883061
111	629.6416626
112	623.6286935
113	617.488441
114	609.9742535
115	603.7347518
116	598.3285182
117	593.3717647
118	589.039989
119	583.6903385
120	578.9329281
121	575.3580961
122	571.7110939
123	567.4801818
124	564.576071
125	560.9696027
126	556.2293242
127	552.9339061
128	548.9380571
129	545.3051204
130	541.3017002
131	538.5246963
132	534.0548476
133	530.7747579
134	528.0526886
135	524.9141275
136	521.973579
137	518.5229689
138	516.0725528
139	512.7314589
140	510.126877
141	505.1800162
142	503.0456981
143	501.2150452
144	496.621349
145	494.020403
146	488.9985311
147	486.3879241
148	483.7009348
149	481.5601274
150	479.9087371
151	477.6000042
152	475.9066026
153	473.9021462
154	472.3477766
155	470.7851183
156	466.4117344
157	462.297485
158	461.2495422
159	459.6733409
160	457.4369523
161	453.6807583
162	452.0783128
163	451.0022076
164	449.9136154
165	448.4139627
166	446.9350051
167	445.4892226
168	444.1544913
169	442.8244572
170	441.8926074
171	440.5890745
172	439.5661914
173	438.3005365
174	437.3372522
175	436.0136163
176	434.3051268
177	432.9827841
178	428.7634626
179	428.0154937
180	426.8892122
181	426.1629172
182	423.2203579
183	420.6136213
184	419.8666288
185	416.4301771
186	414.6769178
187	413.7582115
188	410.7349271
189	409.6074682
190	408.1143321
191	407.1924471
192	406.1491953
193	405.307986
194	402.4821076
195	401.6380829
196	400.0329618
197	399.3797296
198	398.1357532
199	396.2102339
200	394.8153342
201	392.7460381
202	391.9788711
203	391.3892256
204	388.7690134
205	387.7838347
206	386.8149967
207	385.9631567
208	385.0257319
209	384.3740614
210	383.5888032
211	382.9367123
212	381.9489153
213	381.4966431
214	380.8348723
215	380.3518953
216	379.8696095
217	378.5596387
218	377.6602379
219	376.8039604
220	376.0220252
221	375.1481886
222	374.4630811
223	373.9027513
224	373.2354422
225	371.5007702
226	370.5279486
227	369.8980089
228	369.2156678
229	368.4213968
230	366.9140895
231	366.2283432
232	365.7052863
233	365.2105697
234	363.0512017
235	362.3680638
236	360.4518449
237	359.7446631
238	359.2703829
239	357.8465729
240	357.2223071
241	355.7689729
242	354.0116844
243	353.3206235
244	351.5478486
245	350.1659051
246	349.5765575
247	348.0336194
248	347.2037875
249	346.6704817
250	346.1305887
251	345.4706166
252	344.5863751
253	343.8243999
254	343.4156394
255	342.8953946
256	342.4506329
257	341.453026
258	340.5948851
259	340.0586938
260	339.7086371
261	338.5495209
262	338.0827585
263	337.5652554
264	336.619089
265	335.1168418
266	334.304715
267	333.7997556
268	332.7138532
269	331.832033
270	331.1604185
271	329.9077867
272	329.1198539
273	327.908573
274	327.4220901
275	326.3227791
276	325.5601899
277	324.705574
278	324.1003752
279	323.4459881
280	322.8576288
281	322.1276627
282	321.6762224
283	321.1971785
284	320.6678723
285	319.4145958
286	319.0569048
287	317.7737423
288	317.4685106
289	317.1714643
290	316.6499236
291	316.2432826
292	315.7750805
293	314.969475
294	314.511768
295	313.7540282
296	312.5634497
297	311.3926817
298	310.5181475
299	310.1048042
300	309.6084093
301	309.2260648
302	308.9555741
303	308.3407868
304	307.2237865
305	306.3211176
306	305.8325427
307	305.0729265
308	304.5531543
309	303.6234228
310	302.5881554
311	302.1216195
312	301.6427705
313	301.300896
314	300.7727701
315	300.1150839
316	299.2052968
317	298.9255411
318	298.7001044
319	298.2455436
320	297.9127594
321	297.386979
322	297.0137238
323	296.1522886
324	295.5223045
325	294.574162
326	294.1351015
327	292.9169659
328	292.6424564
329	292.2579622
330	291.9164351
331	291.6279653
332	291.2387662
333	290.9360428
334	290.6304545
335	290.3214029
336	289.9006306
337	289.2168245
338	288.8461671
339	288.0546709
340	287.4749906
341	286.4596849
342	286.1150805
343	285.5664543
344	285.04565
345	284.7767404
346	284.2336012
347	283.4429078
348	282.3799013
349	281.7874585
350	280.9060671
351	280.5909946
352	280.2402823
353	279.9811766
354	279.7951231
355	279.2681081
356	278.8645291
357	278.5126575
358	277.8044036
359	277.3431221
360	276.790674
361	276.3860615
362	275.7547485
363	275.0765736
364	274.5722365
365	274.0425518
366	273.4292074
367	272.7168064
368	272.044904
369	271.6356227
370	270.8344636
371	270.4438517
372	269.784648
373	269.0450574
374	268.7914052
375	268.4934678
376	268.2265096
377	268.0349775
378	267.382074
379	267.1284788
380	266.9154196
381	266.4730823
382	265.9104714
383	265.1941521
384	264.3568959
