iter	Passed	Remaining
0	0	623
1	0	779
2	1	666
3	1	702
4	1	669
5	1	653
6	2	641
7	2	610
8	2	595
9	2	580
10	3	591
11	3	580
12	3	573
13	4	572
14	4	565
15	4	562
16	4	554
17	4	548
18	5	544
19	5	547
20	5	541
21	5	538
22	6	538
23	6	538
24	6	536
25	6	530
26	7	532
27	7	534
28	7	532
29	8	530
30	8	529
31	8	523
32	8	518
33	8	517
34	9	516
35	9	513
36	9	510
37	9	510
38	10	508
39	10	506
40	10	503
41	10	502
42	11	501
43	11	505
44	11	505
45	11	502
46	12	498
47	12	494
48	12	491
49	12	494
50	13	496
51	13	497
52	13	497
53	13	496
54	14	497
55	14	497
56	14	494
57	14	492
58	14	489
59	15	489
60	15	492
61	15	492
62	16	492
63	16	490
64	16	488
65	16	488
66	16	488
67	17	487
68	17	486
69	17	484
70	17	484
71	18	483
72	18	482
73	18	482
74	18	481
75	19	482
76	19	481
77	19	482
78	19	482
79	20	482
80	20	484
81	20	484
82	20	483
83	21	482
84	21	481
85	21	482
86	21	480
87	22	481
88	22	481
89	22	480
90	22	478
91	23	478
92	23	477
93	23	476
94	23	474
95	23	474
96	24	474
97	24	473
98	24	472
99	25	475
100	25	474
101	25	475
102	25	475
103	26	475
104	26	475
105	26	476
106	26	476
107	27	476
108	27	476
109	27	476
110	28	477
111	28	479
112	28	479
113	28	478
114	29	479
115	29	479
116	29	480
117	30	480
118	30	479
119	30	478
120	30	480
121	31	480
122	31	479
123	31	479
124	32	481
125	32	481
126	32	480
127	32	480
128	33	480
129	33	480
130	33	481
131	34	482
132	34	482
133	34	482
134	34	481
135	35	481
136	35	480
137	35	480
138	35	480
139	36	480
140	36	480
141	36	481
142	37	480
143	37	483
144	38	486
145	38	488
146	38	489
147	39	490
148	39	491
149	39	492
150	40	493
151	40	493
152	40	494
153	41	494
154	41	494
155	41	492
156	42	495
157	42	498
158	43	498
159	43	499
160	43	500
161	44	500
162	44	502
163	44	501
164	45	502
165	45	502
166	45	503
167	46	503
168	46	503
169	46	502
170	47	503
171	47	503
172	47	503
173	48	504
174	48	504
175	48	505
176	49	505
177	49	504
178	49	504
179	49	504
180	50	504
181	50	503
182	50	504
183	51	505
184	51	505
185	51	505
186	52	506
187	52	506
188	52	505
189	53	505
190	53	507
191	53	507
192	54	506
193	54	506
194	54	506
195	54	505
196	55	505
197	55	504
198	55	504
199	56	504
200	56	503
201	56	506
202	57	506
203	57	505
204	57	505
205	57	504
206	58	506
207	58	505
208	59	510
209	60	513
210	60	514
211	61	514
212	61	516
213	61	516
214	62	516
215	62	518
216	63	518
217	63	518
218	63	518
219	64	517
220	64	519
221	64	520
222	65	519
223	66	524
224	66	523
225	67	526
226	67	527
227	67	527
228	68	529
229	69	531
230	69	531
231	69	532
232	70	533
233	70	532
234	70	532
235	72	539
236	72	539
237	72	539
238	73	538
239	73	539
240	73	539
241	74	540
242	74	540
